Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1961,1961,ha,187036,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1962,1962,ha,186221,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1963,1963,ha,215633,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1964,1964,ha,204074,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1965,1965,ha,202879,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1966,1966,ha,203848,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1967,1967,ha,191873,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1968,1968,ha,175674,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1969,1969,ha,178810,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1970,1970,ha,177202,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1971,1971,ha,159782,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1972,1972,ha,150902,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1973,1973,ha,172225,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1974,1974,ha,179730,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1975,1975,ha,190157,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1976,1976,ha,257118,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1977,1977,ha,265717,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1978,1978,ha,260890,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1979,1979,ha,251780,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1980,1980,ha,252557,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1981,1981,ha,246654,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1982,1982,ha,221724,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1983,1983,ha,185124,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1984,1984,ha,194873,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1985,1985,ha,181197,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1986,1986,ha,131997,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1987,1987,ha,134562,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1988,1988,ha,129290,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1989,1989,ha,125440,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1990,1990,ha,123735,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1991,1991,ha,125221,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1992,1992,ha,123162,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1993,1993,ha,122484,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1994,1994,ha,121067,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1995,1995,ha,123689,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1996,1996,ha,135200,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1997,1997,ha,132386,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1998,1998,ha,126231,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",1999,1999,ha,131399,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2000,2000,ha,124303,E,Estimated value,,,
